company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,YearOpened,FiduciaryPowers,EntityType,PowersExercised,MemberFederalReserve,InstitutionType,FederalRegulator,S-Corp,Specialization
Peoples Bank,278153,445 South Lewis Avenue,Tulsa,Oklahoma,74150,https://www.peoplesbanktulsa.com,1907,No,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
American Heritage Bank,311050,2 South Main Street,Sapulpa,Oklahoma,74066,,1905,Yes,State,Yes,Yes,Commercial bank,FED,Yes,All Other Specialization  > 1 Billion
The Poplar Grove State Bank,808448,109 North State Street,Poplar Grove,Illinois,61065,poplargrovestatebank.com,1946,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Forreston State Bank,927134,200 Main Street,Forreston,Illinois,61030,www.fsbil.com,1887,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Stock Growers Bank,1009055,324 Main Avenue,Napoleon,North Dakota,58561,,1900,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Sargent County Bank,992851,331 Main Street Sw,Forman,North Dakota,58032,https://www.sargentcountybank.com,1900,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Prime Bank,3660478,1016 West Covell Rd,Edmond,Oklahoma,73003,,2008,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
TINKER FEDERAL CREDIT UNION,220590,PO BOX 45750,OKLAHOMA CITY,OK,73145,,1946,,,,,Credit Union,NCUA,,
"Vast Bank, National Association",347956,110 N. Elgin Avenue,Tulsa,Oklahoma,74120,,1982,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Armstrong Bank,470452,1215 W Okmulgee St,Muskogee,Oklahoma,74401,,1910,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Banco Santander Puerto Rico,816210,207 Ponce De Leon Avenue,San Juan,Puerto Rico,917,,1972,Yes,State,Yes,No,Commercial bank,FDIC,No,All Other Specialization  > 1 Billion
FirstBank Puerto Rico,510871,1519 Ave Ponce De Leon,Santurce,Puerto Rico,909,www.1firstbank.com,1949,Yes,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Advantage Community Bank,189549,101 W Business County Road A,Dorchester,Wisconsin,54425,www.advantagecommunity.com,1906,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Nicolet National Bank,2941068,111 N. Washington Street,Green Bay,Wisconsin,54301,www.nicoletbank.com,2000,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Farmers Bank of Lincoln,742355,Main And Highway 65,Lincoln,Missouri,65338,www.fblmo.com,1890,No,State,No,Yes,Commercial bank,FED,Yes,All Other Specialization  < 1 Billion
Community National Bank & Trust,923752,14 North Lincoln Avenue,Chanute,Kansas,66720,www.mybankcnb.com,1987,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Freedom Bank,3345065,1200 4th Street North,Saint Petersburg,Florida,33701,www.freedombank.com,2005,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Seacoast National Bank,34537,815 Colorado Ave,Stuart,Florida,34994,www.seacoastbank.com,1933,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
"First American Bank, N.A.",3595682,2424 Monetary Blvd.,Hudson,Wisconsin,54016,,2007,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Hiawatha National Bank,505550,N 1555 770th Street,Hager City,Wisconsin,54014,www.hnbank.com,1917,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
The Farmers & Merchants Bank,70058,110 South Main Street,Dyer,Tennessee,38330,www.dyerfmbank.com,1895,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Other Specialized Lending < 1 Billion
Security Bank and Trust Company,118156,210 West Washington Street,Paris,Tennessee,38242,www.securitybanktn.com,1905,Yes,State,No,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Bank of Laverne,85454,111 East Jane Jayroe Boulevard,Laverne,Oklahoma,73848,www.bankoflaverne.com,1922,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Security State Bank,58551,402 Broadway,Cheyenne,Oklahoma,73628,www.ssbcheyenne.com,1912,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Franklin Synergy Bank,3635533,722 Columbia Avenue,Franklin,Tennessee,37064,www.franklinsynergybank.com,2007,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
FirstBank,436159,"211 Commerce Street, Suite 300",Nashville,Tennessee,37201,www.firstbankonline.com,1906,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Union Bank of Blair,506052,123 Urberg Street,Blair,Wisconsin,54616,www.unionbankofblair.com,1899,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Waumandee State Bank,780955,S2021 County Road U,Waumandee,Wisconsin,54622,www.waumandeebank.com,1914,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Bank of Bolivar,2535560,495 South Springfield Avenue,Bolivar,Missouri,65613,bankofbolivarmo.com,1997,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
The Bank of Missouri,330855,916 North Kings Highway,Perryville,Missouri,63775,,1891,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
SB One Bank,403106,399 Route 23,Franklin,New Jersey,7416,,1976,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Provident Bank,204004,Washington And York Streets,Jersey City,New Jersey,7303,,1839,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
Freedom National Bank,3051432,584 Putnam Pike,Greenville,Rhode Island,2828,www.freedomnationalbank.com,2001,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Bristol County Savings Bank,13103,35 Broadway,Taunton,Massachusetts,2780,www.bristolcountysavings.com,1846,Yes,State,Yes,No,Savings bank,FDIC,No,Commercial Lending Specialization
Victor State Bank,616849,201 Washington Street,Victor,Iowa,52347,victorstatebank.com,1928,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Chelsea Savings Bank,771748,601 13th St,Belle Plaine,Iowa,52208,www.chelseasavingsbank.com,1936,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Bank of Akron,452104,46 Main Street,Akron,New York,14001,www.bankofakron.com,1900,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
CNB Bank,399517,One South Second Street,Clearfield,Pennsylvania,16830,,1934,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
South Porte Bank,807946,701 North Court Street,Marion,Illinois,62959,www.southportebank.com,1956,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
SouthernTrust Bank,3316739,101 North Broadway,Goreville,Illinois,62939,www.southerntrustbank.com,2005,No,State,No,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
State Bank of Burnettsville,225241,324 South Main Street,Burnettsville,Indiana,47926,www.bvillebank.com,1902,Yes,State,Yes,No,Commercial bank,FDIC,No,All Other Specialization  < 1 Billion
The Fountain Trust Company,145844,615 3rd St,Covington,Indiana,47932,www.fountaintrust.com,1903,Yes,State,Yes,No,Commercial bank,FDIC,No,Agricultural  Specialization
Millington Bank,793571,1902 Long Hill Road,Millington,New Jersey,7946,www.millingtonbank.com,1911,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
Kearny Bank,633378,614 Kearny Avenue,Kearny,New Jersey,7032,www.kearnybank.com,1884,No,State,No,No,Savings bank,FDIC,No,Commercial Lending Specialization
USNY Bank,3620922,389 Hamilton Street,Geneva,New York,14456,www.usnybank.com,2007,No,State,No,No,Commercial bank,FDIC,No,Agricultural  Specialization
Wayne Bank,59316,717 Main St,Honesdale,Pennsylvania,18431,www.waynebank.com,1871,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First State Bank of Claremont,99255,7 East Highway 12,Groton,South Dakota,57445,fsbclaremont.com,1903,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Dacotah Bank,256553,308 South Main Street,Aberdeen,South Dakota,57401,www.dacotahbank.com,1955,Yes,State,Yes,Yes,Commercial bank,FED,No,Agricultural  Specialization
Iberiabank,808176,200 West Congress Street,Lafayette,Louisiana,70501,https://www.iberiabank.com,1887,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
First Horizon Bank,485559,165 Madison Avenue,Memphis,Tennessee,38103,https://www.firsthorizon.com,1864,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Centennial Bank,973364,904 Avenue O,Lubbock,Texas,79401,www.bankoncb.com,1934,Yes,State,Yes,No,Commercial bank,FDIC,Yes,Commercial Lending Specialization
Happy State Bank,466857,100 East Main Street,Happy,Texas,79042,www.happybank.com,1908,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Victory State Bank,2631323,4142 Hylan Boulevard,Staten Island,New York,10308,www.victorystatebank.com,1997,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Northfield Bank,28013,1731 Victory Blvd,Staten Island,New York,10314,www.enorthfield.com,1887,No,Federal,No,No,Savings Association,OCC,No,Commercial Lending Specialization
The First National Bank of Manchester,290230,100 West High Street,Manchester,Tennessee,37355,www.fnbmwm.com,1900,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
CapStar Bank,3715444,1201 Demonbreun St,Nashville,Tennessee,37203,www.capstarbank.com,2008,Yes,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
