company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,YearOpened,FiduciaryPowers,EntityType,PowersExercised,MemberFederalReserve,InstitutionType,FederalRegulator,S-Corp,Specialization
First Bank & Trust,550756,110 North Minnesota Avenue,Sioux Falls,South Dakota,57104,www.bankeasy.com,1987,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
First Bank & Trust,77851,520 6th Street,Brookings,South Dakota,57006,www.bankeasy.com,1925,Yes,State,Yes,No,Commercial bank,FDIC,No,Commercial Lending Specialization
Loomis Federal Savings and Loan Association,450472,6350 West 63rd Street,Chicago,Illinois,60638,,1929,No,Federal,No,No,Savings Association,OCC,No,Other Specialized Lending < 1 Billion
Hoyne Savings Bank,447070,4786 Milwaukee Avenue,Chicago,Illinois,60630,www.hoyne.com,1887,No,State,No,No,Savings bank,FDIC,No,Mortgage Lending Specialization
Peoples Bank Midwest,456157,10583 Main Street,Hayward,Wisconsin,54843,www.pbmbank.com,1925,No,State,No,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
Frandsen Bank & Trust,751656,116 Central Street West,Lonsdale,Minnesota,55046,frandsenbank.com,1901,Yes,State,Yes,Yes,Commercial bank,FED,Yes,Commercial Lending Specialization
First City Bank of Florida,695134,"135 Perry Avenue, S.E.",Fort Walton Beach,Florida,32548,www.firstcitybank.com,1948,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
"United Fidelity Bank, fsb",391575,18 Nw Fourth Street,Evansville,Indiana,47708,www.unitedfidelity.com,1931,No,Federal,No,No,Savings Association,OCC,No,All Other Specialization  > 1 Billion
Community Shores Bank,2735324,1030 West Norton Avenue,Muskegon,Michigan,49441,www.communityshores.com,1999,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
ChoiceOne Bank,324340,109 E Division St,Sparta,Michigan,49345,www.choiceone.com,1898,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Executive National Bank,1002430,9600 North Kendall Drive,Miami,Florida,33176,executivebank.com,1972,No,Federal,No,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
City National Bank of Florida,814430,25 West Flagler Street,Miami,Florida,33101,www.citynational.com,1970,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
"State Farm Bank, F.S.B.",2590037,One State Farm Plaza E-6,Bloomington,Illinois,61710,www.statefarm.com/finances/banking,1999,No,Federal,No,No,Savings Association,OCC,No,Consumer Lending Specialization
U.S. Bank National Association,504713,425 Walnut Street,Cincinnati,Ohio,45202,www.usbank.com,1863,Yes,Federal,Yes,Yes,Commercial bank,OCC,No,Commercial Lending Specialization
Beartooth Bank,3425725,4130 King Avenue West,Billings,Montana,59106,www.beartoothbank.com,2006,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
American Bank Center,971959,140 1st Avenue West,Dickinson,North Dakota,58601,,1977,Yes,State,Yes,No,Commercial bank,FDIC,No,Agricultural  Specialization
Mansfield Co-operative Bank,163370,80 North Main Street,Mansfield,Massachusetts,2048,,1883,No,State,No,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Bridgewater Savings Bank,699105,756 Orchard Street,Raynham,Massachusetts,2767,www.bridgewatersavings.com,1872,Yes,State,Yes,Yes,Commercial bank,FED,No,Commercial Lending Specialization
Eagle State Bank,252256,600 South Fourth Street,Eagle,Nebraska,68347,www.eaglestatebank.com,1974,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Tri Valley Bank,388557,223 Main Street,Talmage,Nebraska,68448,www.banktrivalley.com,1884,No,State,No,No,Commercial bank,FDIC,Yes,Agricultural  Specialization
Fort Hood National Bank,305750,Tj Mills Boulevard Building 109,Fort Hood,Texas,76544,www.fhnb.com,1966,No,Federal,No,Yes,Commercial bank,OCC,Yes,Other Specialized Lending < 1 Billion
First National Bank Texas,613950,507 North Gray Street,Killeen,Texas,76541,www.1stnb.com,1901,No,Federal,No,Yes,Commercial bank,OCC,Yes,All Other Specialization  > 1 Billion
Carroll Community Bank,395274,1321 Liberty Road,Sykesville,Maryland,21784,www.carrollcobank.com,1904,No,State,No,No,Commercial bank,FDIC,No,Commercial Lending Specialization
