company_name,RSSD_ID,RefinedAddress,City,State,Pin,webAddress,EntityType,Incorporated,SIC_Code,FiscalYearEnd,Regulator,FilerStatus
JPMORGAN CHASE & CO,1039502,383 MADISON AVENUE,NEW YORK,NY,10017,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
BANK OF AMERICA CORP /DE/,1073757,BANK OF AMERICA CORPORATE CENTER,CHARLOTTE,NC,28255,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
CITIGROUP INC,1951350,388 GREENWICH STREET,NEW YORK,NY,10013,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
WELLS FARGO & COMPANY/MN,1120754,420 MONTGOMERY STREET,SAN FRANCISCO,CA,94163,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
US BANCORP DE,1119794,U.S. BANCORP,MINNEAPOLIS,MN,55402-7020,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
TRUIST FINANCIAL CORP,1074156,214 NORTH TRYON STREET,CHARLOTTE,NC,28202,,NATIONAL COMMERCIAL BANKS,"NC, US",6021,1231,SEC,Large Accelerated
BANK OF NEW YORK MELLON CORP,3587146,240 GREENWICH STREET,NEW YORK,NY,10286,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
"PNC FINANCIAL SERVICES GROUP, INC.",1069778,THE TOWER AT PNC PLAZA,PITTSBURGH,PA,15222-2401,,NATIONAL COMMERCIAL BANKS,"PA, US",6021,1231,SEC,Large Accelerated
CAPITAL ONE FINANCIAL CORP,2277860,1680 CAPITAL ONE DRIVE,MCLEAN,VA,22102,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
STATE STREET CORP,1111435,ONE LINCOLN STREET,BOSTON,MA,02111,,STATE COMMERCIAL BANKS,"MA, US",6022,1231,SEC,Large Accelerated
HSBC USA INC /MD/,1020201,452 FIFTH AVE,NEW YORK,NY,10018,,NATIONAL COMMERCIAL BANKS,"MD, US",6021,1231,SEC,Non-Accelerated
FIFTH THIRD BANCORP,1070345,38 FOUNTAIN SQ PLZ,CINCINNATI,OH,45263,,STATE COMMERCIAL BANKS,"OH, US",6022,1231,SEC,Large Accelerated
ALLY FINANCIAL INC.,1562859,ALLY DETROIT CENTER,DETROIT,MI,48226,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
CITIZENS FINANCIAL GROUP INC/RI,1132449,1 CITIZENS PLAZA,PROVIDENCE,RI,02903,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
MUFG AMERICAS HOLDINGS CORP,1378434,1251 AVENUE OF THE AMERICAS,NEW YORK,NY,10020,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Non-Accelerated
NORTHERN TRUST CORP,1199611,50 S LASALLE ST,CHICAGO,IL,60603,,STATE COMMERCIAL BANKS,"DE, US",6022,1231,SEC,Large Accelerated
KEYCORP /NEW/,1068025,127 PUBLIC SQ,CLEVELAND,OH,44114-1306,,NATIONAL COMMERCIAL BANKS,"OH, US",6021,1231,SEC,Large Accelerated
"SANTANDER HOLDINGS USA, INC.",3981856,75 STATE STREET,BOSTON,MA,02109,,NATIONAL COMMERCIAL BANKS,"VA, US",6021,1231,SEC,Non-Accelerated
REGIONS FINANCIAL CORP,3242838,1900 FIFTH AVENUE NORTH,BIRMINGHAM,AL,35203,,NATIONAL COMMERCIAL BANKS,"DE, US",6021,1231,SEC,Large Accelerated
